2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2019-11-07: abaddon, abyssal underlord, bounty hunter, enchantress, lina, magnataur, silencer, slardar, storm spirit, vengefulspirit
2019-11-08: bounty hunter, dazzle, death prophet, elder titan, enchantress, phantom lancer, rattletrap, storm spirit, ursa, windrunner
2019-11-09: abyssal underlord, arc warden, bristleback, enigma, lone druid, pudge, rattletrap, slark, techies, vengefulspirit
2019-11-10: abaddon, doom bringer, lone druid, ogre magi, queenofpain, rattletrap, sand king, spirit breaker, tidehunter, weaver
2019-11-11: bristleback, clinkz, dazzle, elder titan, ember spirit, enchantress, medusa, nyx assassin, shredder, storm spirit
2019-11-12: axe, broodmother, gyrocopter, leshrac, lion, pugna, shredder, silencer, skywrath mage, spectre
2019-11-13: bloodseeker, brewmaster, chen, dragon knight, nevermore, pangolier, slardar, spectre, undying, witch doctor
2019-11-14: abaddon, bristleback, chen, crystal maiden, earth spirit, legion commander, nevermore, pangolier, tusk, windrunner
2019-11-15: arc warden, brewmaster, doom bringer, dragon knight, ember spirit, leshrac, lone druid, tinker, vengefulspirit, wisp
2019-11-16: drow ranger, earth spirit, earthshaker, phantom lancer, sand king, spirit breaker, sven, tinker, weaver, witch doctor
2019-11-17: antimage, dark willow, kunkka, lone druid, morphling, obsidian destroyer, phoenix, pugna, rubick, zuus
2019-11-18: beastmaster, crystal maiden, jakiro, lich, medusa, obsidian destroyer, pangolier, phantom assassin, slardar, winter wyvern
2019-11-19: axe, bristleback, gyrocopter, juggernaut, keeper of the light, life stealer, shadow shaman, spectre, spirit breaker, treant
2019-11-20: bristleback, jakiro, nevermore, phoenix, pugna, skeleton king, tusk, undying, weaver, winter wyvern
2019-11-21: antimage, faceless void, furion, juggernaut, magnataur, necrolyte, nevermore, rubick, spirit breaker, visage
2019-11-22: batrider, dark seer, elder titan, enchantress, gyrocopter, nyx assassin, phantom assassin, sven, tinker, zuus
2019-11-23: batrider, chaos knight, clinkz, dark seer, enchantress, morphling, night stalker, ogre magi, phantom lancer, tidehunter
2019-11-24: alchemist, brewmaster, dragon knight, juggernaut, keeper of the light, life stealer, morphling, sand king, shadow shaman, tinker
2019-11-25: alchemist, disruptor, faceless void, huskar, lina, nevermore, riki, sven, tusk, wisp
2019-11-26: arc warden, earthshaker, kunkka, lone druid, monkey king, ogre magi, rubick, sven, warlock, wisp
2019-11-27: axe, batrider, clinkz, gyrocopter, keeper of the light, life stealer, rattletrap, venomancer, viper, weaver
2019-11-28: axe, bloodseeker, death prophet, drow ranger, ember spirit, faceless void, nevermore, spectre, ursa, winter wyvern
2019-11-29: axe, bane, disruptor, ember spirit, meepo, monkey king, naga siren, techies, vengefulspirit, viper
2019-11-30: abaddon, dark willow, mirana, morphling, omniknight, phoenix, razor, vengefulspirit, windrunner, wisp
2019-12-01: bloodseeker, elder titan, legion commander, luna, morphling, nyx assassin, pangolier, rubick, silencer, undying
2019-12-02: abyssal underlord, crystal maiden, disruptor, faceless void, furion, kunkka, omniknight, puck, rattletrap, rubick
2019-12-03: bounty hunter, huskar, leshrac, naga siren, nevermore, phantom lancer, pudge, queenofpain, slark, terrorblade
2019-12-04: dark seer, dark willow, drow ranger, furion, huskar, nyx assassin, omniknight, puck, rubick, tiny
2019-12-05: axe, batrider, bristleback, chaos knight, dark seer, phantom assassin, phantom lancer, troll warlord, warlock, weaver
2019-12-06: arc warden, centaur, chaos knight, keeper of the light, phoenix, shadow demon, skywrath mage, templar assassin, tusk, warlock
2019-12-07: dark willow, furion, kunkka, lich, luna, lycan, necrolyte, nyx assassin, pudge, windrunner
2019-12-08: bounty hunter, disruptor, faceless void, kunkka, luna, medusa, slardar, undying, ursa, wisp
2019-12-09: legion commander, mirana, naga siren, omniknight, sand king, troll warlord, venomancer, warlock, wisp, zuus
2019-12-10: abaddon, bounty hunter, dark seer, dark willow, monkey king, omniknight, rubick, sand king, slark, ursa
2019-12-11: abaddon, chen, dark seer, earthshaker, faceless void, huskar, lich, nevermore, omniknight, silencer
2019-12-12: broodmother, clinkz, disruptor, kunkka, lina, lycan, night stalker, ogre magi, puck, wisp
2019-12-13: bounty hunter, dark willow, death prophet, enchantress, monkey king, nevermore, pugna, riki, rubick, undying
2019-12-14: brewmaster, clinkz, pangolier, silencer, sven, terrorblade, tusk, undying, weaver, zuus
2019-12-15: crystal maiden, doom bringer, ember spirit, lich, lone druid, magnataur, pangolier, pudge, shadow shaman, weaver
2019-12-16: ancient apparition, juggernaut, leshrac, lycan, oracle, pugna, rubick, slardar, warlock, weaver
2019-12-17: antimage, chaos knight, dazzle, earth spirit, lich, phantom assassin, silencer, spectre, undying, winter wyvern
2019-12-18: gyrocopter, huskar, lina, medusa, nevermore, oracle, spectre, tinker, venomancer, windrunner
2019-12-19: arc warden, bloodseeker, clinkz, death prophet, jakiro, lycan, phoenix, razor, viper, warlock
2019-12-20: bloodseeker, faceless void, lycan, necrolyte, slark, treant, vengefulspirit, warlock, windrunner, wisp
2019-12-21: bloodseeker, bristleback, crystal maiden, lion, pangolier, shadow demon, shredder, skeleton king, ursa, zuus
2019-12-22: arc warden, beastmaster, dark willow, faceless void, nyx assassin, phantom assassin, silencer, templar assassin, troll warlord, visage
2019-12-23: centaur, chen, death prophet, faceless void, juggernaut, magnataur, morphling, queenofpain, slark, terrorblade
2019-12-24: batrider, dark willow, elder titan, faceless void, morphling, nyx assassin, omniknight, queenofpain, skeleton king, spirit breaker
2019-12-25: chen, lion, lone druid, pugna, riki, storm spirit, techies, tusk, wisp, zuus
2019-12-26: beastmaster, chaos knight, ember spirit, leshrac, nyx assassin, razor, troll warlord, visage, winter wyvern, witch doctor
2019-12-27: alchemist, centaur, faceless void, legion commander, monkey king, queenofpain, razor, skeleton king, sniper, witch doctor
2019-12-28: disruptor, elder titan, faceless void, lycan, meepo, phoenix, shredder, techies, treant, vengefulspirit
2019-12-29: chen, death prophet, enchantress, morphling, phantom assassin, phoenix, shadow shaman, slardar, spirit breaker, terrorblade
2019-12-30: abyssal underlord, batrider, leshrac, lina, omniknight, pangolier, undying, visage, windrunner, witch doctor
2019-12-31: invoker, legion commander, lion, oracle, pugna, sand king, sven, terrorblade, ursa, zuus
2020-01-01: alchemist, disruptor, earthshaker, necrolyte, phantom assassin, rattletrap, riki, sven, terrorblade, ursa
2020-01-02: chen, clinkz, crystal maiden, death prophet, disruptor, enigma, mirana, slardar, storm spirit, tusk
2020-01-03: axe, furion, invoker, pangolier, phantom lancer, phoenix, puck, sven, tiny, treant
2020-01-04: bane, crystal maiden, gyrocopter, huskar, necrolyte, pangolier, pugna, razor, sand king, visage
2020-01-05: bane, batrider, dark willow, dazzle, drow ranger, meepo, nevermore, silencer, witch doctor, zuus
2020-01-06: beastmaster, bounty hunter, bristleback, crystal maiden, death prophet, enigma, legion commander, lich, razor, treant
2020-01-07: clinkz, earth spirit, faceless void, juggernaut, necrolyte, sand king, templar assassin, tinker, vengefulspirit, zuus
2020-01-08: abyssal underlord, clinkz, enigma, phantom assassin, pudge, shredder, templar assassin, ursa, viper, winter wyvern
2020-01-09: jakiro, luna, necrolyte, pudge, pugna, rattletrap, riki, shadow demon, weaver, zuus
2020-01-10: centaur, chen, dark seer, life stealer, lycan, mirana, necrolyte, sand king, shredder, vengefulspirit
2020-01-11: bristleback, doom bringer, legion commander, leshrac, magnataur, mirana, omniknight, rubick, storm spirit, tinker
2020-01-12: alchemist, antimage, batrider, gyrocopter, lina, magnataur, mirana, rubick, slark, tinker
2020-01-13: ancient apparition, beastmaster, chaos knight, clinkz, doom bringer, life stealer, luna, rubick, slardar, visage
2020-01-14: abaddon, bloodseeker, brewmaster, chaos knight, crystal maiden, legion commander, magnataur, silencer, terrorblade, troll warlord
2020-01-15: abaddon, alchemist, arc warden, chaos knight, earthshaker, jakiro, lone druid, omniknight, skeleton king, warlock
2020-01-16: chaos knight, disruptor, faceless void, naga siren, puck, sand king, undying, ursa, viper, wisp
2020-01-17: abyssal underlord, dragon knight, ember spirit, life stealer, naga siren, phantom assassin, rubick, silencer, slark, visage
2020-01-18: abaddon, batrider, clinkz, dark seer, earth spirit, meepo, obsidian destroyer, pangolier, silencer, vengefulspirit
2020-01-19: antimage, dark willow, huskar, lycan, medusa, obsidian destroyer, silencer, tusk, vengefulspirit, warlock
2020-01-20: huskar, meepo, obsidian destroyer, silencer, skeleton king, spirit breaker, techies, templar assassin, vengefulspirit, visage
2020-01-21: chaos knight, dragon knight, juggernaut, leshrac, necrolyte, obsidian destroyer, queenofpain, riki, visage, witch doctor
2020-01-22: axe, disruptor, dragon knight, magnataur, mirana, nyx assassin, undying, visage, windrunner, wisp
2020-01-23: bristleback, centaur, chen, crystal maiden, dark seer, doom bringer, phoenix, sand king, spectre, tusk
2020-01-24: abyssal underlord, doom bringer, earth spirit, ember spirit, enchantress, keeper of the light, terrorblade, treant, venomancer, weaver
2020-01-25: ancient apparition, monkey king, silencer, spirit breaker, techies, terrorblade, tusk, vengefulspirit, warlock, witch doctor
2020-01-26: medusa, meepo, nevermore, ogre magi, riki, slark, undying, ursa, vengefulspirit, visage
2020-01-27: ancient apparition, broodmother, dragon knight, drow ranger, invoker, legion commander, morphling, naga siren, obsidian destroyer, skywrath mage
2020-01-28: abyssal underlord, clinkz, omniknight, puck, queenofpain, storm spirit, sven, venomancer, weaver, wisp
2020-01-29: broodmother, enigma, invoker, lion, ogre magi, omniknight, razor, riki, sniper, warlock
2020-01-30: chaos knight, doom bringer, drow ranger, jakiro, luna, puck, skywrath mage, sniper, terrorblade, tidehunter
2020-01-31: ember spirit, life stealer, phoenix, razor, shadow demon, shadow shaman, troll warlord, undying, windrunner, zuus
2020-02-01: bane, batrider, dazzle, monkey king, pugna, sand king, shredder, silencer, tinker, weaver
2020-02-02: axe, dark willow, ember spirit, lycan, monkey king, ogre magi, oracle, storm spirit, ursa, windrunner
2020-02-03: arc warden, jakiro, juggernaut, obsidian destroyer, ogre magi, rubick, skeleton king, ursa, winter wyvern, zuus
2020-02-04: alchemist, beastmaster, brewmaster, chen, lina, pangolier, sand king, sniper, storm spirit, tusk
2020-02-05: antimage, bounty hunter, chaos knight, enigma, invoker, kunkka, lina, oracle, sniper, spirit breaker
2020-02-06: beastmaster, enchantress, juggernaut, kunkka, pudge, shadow shaman, skeleton king, skywrath mage, slark, viper
2020-02-07: bloodseeker, broodmother, ember spirit, enchantress, kunkka, legion commander, leshrac, meepo, tiny, windrunner
2020-02-08: death prophet, ember spirit, lina, night stalker, phantom assassin, spectre, tiny, treant, viper, warlock
2020-02-09: dark willow, furion, luna, lycan, phantom lancer, riki, rubick, slardar, tidehunter, windrunner
2020-02-10: abyssal underlord, batrider, huskar, life stealer, mirana, shredder, tiny, undying, warlock, wisp
2020-02-11: abaddon, beastmaster, chaos knight, enchantress, faceless void, huskar, meepo, nyx assassin, oracle, pugna
2020-02-12: bloodseeker, clinkz, earth spirit, earthshaker, enigma, monkey king, morphling, terrorblade, troll warlord, visage
2020-02-13: antimage, beastmaster, dark seer, dark willow, ember spirit, faceless void, legion commander, lone druid, oracle, wisp
2020-02-14: ancient apparition, dark seer, ember spirit, kunkka, nevermore, night stalker, silencer, spirit breaker, sven, winter wyvern
2020-02-15: abaddon, alchemist, chen, clinkz, enigma, invoker, lich, lycan, phantom assassin, troll warlord
2020-02-16: bane, enigma, kunkka, lina, omniknight, pangolier, queenofpain, silencer, techies, viper
2020-02-17: batrider, disruptor, keeper of the light, legion commander, lone druid, medusa, meepo, pangolier, shadow demon, tinker
2020-02-18: beastmaster, dark willow, disruptor, dragon knight, ember spirit, gyrocopter, keeper of the light, lone druid, phantom lancer, ursa
2020-02-19: broodmother, earthshaker, ember spirit, kunkka, lion, shredder, sven, tidehunter, undying, ursa
2020-02-20: bristleback, enchantress, huskar, lina, medusa, night stalker, phantom lancer, slardar, troll warlord, zuus
2020-02-21: dazzle, ember spirit, lina, phantom lancer, phoenix, pudge, queenofpain, troll warlord, undying, venomancer
2020-02-22: brewmaster, disruptor, enigma, faceless void, huskar, ogre magi, pudge, razor, spectre, visage
2020-02-23: abaddon, axe, disruptor, keeper of the light, lina, luna, pudge, razor, troll warlord, wisp
2020-02-24: centaur, crystal maiden, elder titan, nevermore, nyx assassin, phantom lancer, rattletrap, riki, slardar, sniper
2020-02-25: chaos knight, invoker, morphling, pudge, rubick, skeleton king, storm spirit, tinker, weaver, windrunner
2020-02-26: abaddon, axe, bounty hunter, centaur, doom bringer, earthshaker, lich, lone druid, nevermore, treant
2020-02-27: abaddon, chaos knight, earth spirit, gyrocopter, leshrac, lich, ursa, vengefulspirit, visage, windrunner
2020-02-28: bloodseeker, dragon knight, earth spirit, leshrac, life stealer, lion, medusa, necrolyte, riki, sand king
2020-02-29: antimage, leshrac, lich, obsidian destroyer, omniknight, phoenix, shadow demon, sniper, troll warlord, vengefulspirit
2020-03-01: centaur, dragon knight, drow ranger, earthshaker, kunkka, lone druid, mirana, night stalker, nyx assassin, storm spirit
2020-03-02: axe, beastmaster, bounty hunter, bristleback, crystal maiden, dazzle, elder titan, juggernaut, meepo, sven
2020-03-03: arc warden, clinkz, enigma, furion, night stalker, obsidian destroyer, ogre magi, puck, shadow demon, shredder
2020-03-04: alchemist, magnataur, morphling, necrolyte, skywrath mage, sven, weaver, winter wyvern, witch doctor, zuus
2020-03-05: bane, chen, dark willow, drow ranger, earthshaker, rattletrap, silencer, skywrath mage, vengefulspirit, weaver
2020-03-06: axe, bristleback, centaur, disruptor, lycan, morphling, nyx assassin, ogre magi, pangolier, shadow shaman
2020-03-07: abaddon, abyssal underlord, brewmaster, broodmother, disruptor, life stealer, necrolyte, silencer, slardar, windrunner
2020-03-08: brewmaster, earth spirit, elder titan, jakiro, juggernaut, lina, oracle, sniper, viper, zuus
2020-03-09: bristleback, crystal maiden, dark willow, dazzle, gyrocopter, lion, night stalker, pangolier, storm spirit, tusk
2020-03-10: abaddon, faceless void, invoker, kunkka, lion, oracle, troll warlord, weaver, wisp, witch doctor
2020-03-11: axe, crystal maiden, dazzle, earthshaker, meepo, queenofpain, rattletrap, sniper, tinker, vengefulspirit
2020-03-12: ancient apparition, antimage, jakiro, leshrac, lina, morphling, phantom assassin, sniper, windrunner, witch doctor
2020-03-13: abaddon, axe, bounty hunter, clinkz, dazzle, oracle, rubick, spectre, tiny, venomancer
2020-03-14: bristleback, chen, disruptor, furion, kunkka, ogre magi, omniknight, slardar, venomancer, zuus
2020-03-15: abaddon, dark seer, huskar, magnataur, naga siren, shadow demon, shadow shaman, skeleton king, templar assassin, visage
2020-03-16: alchemist, beastmaster, bloodseeker, chaos knight, earth spirit, lina, oracle, techies, winter wyvern, zuus
2020-03-17: abyssal underlord, bane, beastmaster, centaur, death prophet, lone druid, omniknight, spirit breaker, storm spirit, wisp
2020-03-18: alchemist, faceless void, invoker, jakiro, keeper of the light, lina, lycan, morphling, razor, skywrath mage
2020-03-19: chaos knight, clinkz, death prophet, faceless void, keeper of the light, medusa, meepo, riki, tiny, windrunner
2020-03-20: brewmaster, huskar, life stealer, lone druid, medusa, nyx assassin, rattletrap, skywrath mage, venomancer, winter wyvern
2020-03-21: bane, dark willow, drow ranger, morphling, naga siren, oracle, terrorblade, tidehunter, tinker, treant
2020-03-22: bloodseeker, dazzle, drow ranger, earthshaker, jakiro, lone druid, mirana, razor, terrorblade, venomancer
2020-03-23: beastmaster, centaur, death prophet, disruptor, dragon knight, enigma, furion, leshrac, tusk, warlock
2020-03-24: batrider, crystal maiden, earth spirit, lycan, meepo, pangolier, rubick, sven, undying, ursa
2020-03-25: bane, crystal maiden, dragon knight, enchantress, juggernaut, magnataur, naga siren, spirit breaker, techies, wisp
2020-03-26: beastmaster, centaur, kunkka, lion, monkey king, nyx assassin, rattletrap, troll warlord, tusk, warlock
2020-03-27: dazzle, enchantress, gyrocopter, huskar, lich, skeleton king, slardar, storm spirit, ursa, visage
2020-03-28: crystal maiden, dazzle, ember spirit, keeper of the light, pudge, sand king, shadow demon, shredder, skywrath mage, undying
2020-03-29: crystal maiden, gyrocopter, nevermore, obsidian destroyer, pudge, rubick, slark, spectre, ursa, windrunner
2020-03-30: enigma, invoker, medusa, night stalker, omniknight, pangolier, pudge, sniper, sven, weaver
2020-03-31: bristleback, death prophet, jakiro, juggernaut, legion commander, phantom assassin, phantom lancer, storm spirit, troll warlord, vengefulspirit
2020-04-01: furion, invoker, keeper of the light, lycan, monkey king, morphling, obsidian destroyer, ogre magi, tinker, zuus
2020-04-02: gyrocopter, life stealer, magnataur, nyx assassin, pugna, razor, spirit breaker, vengefulspirit, viper, weaver
2020-04-03: abyssal underlord, earthshaker, enchantress, furion, invoker, medusa, mirana, oracle, silencer, warlock
2020-04-04: bane, disruptor, furion, lion, oracle, silencer, skeleton king, sniper, treant, warlock
2020-04-05: bristleback, centaur, enchantress, huskar, kunkka, lich, nevermore, slardar, spirit breaker, visage
2020-04-06: brewmaster, furion, lycan, nyx assassin, oracle, spectre, spirit breaker, terrorblade, troll warlord, windrunner
2020-04-07: dark seer, dark willow, earthshaker, ember spirit, nevermore, omniknight, puck, slark, undying, winter wyvern
2020-04-08: axe, bounty hunter, brewmaster, chaos knight, drow ranger, life stealer, riki, shadow shaman, templar assassin, undying
2020-04-09: dark willow, disruptor, doom bringer, earthshaker, kunkka, leshrac, meepo, razor, skywrath mage, tiny
2020-04-10: abaddon, beastmaster, drow ranger, earth spirit, luna, nyx assassin, pangolier, phantom assassin, pugna, tiny
2020-04-11: bloodseeker, enigma, furion, huskar, juggernaut, obsidian destroyer, phantom assassin, phantom lancer, tusk, winter wyvern
2020-04-12: abaddon, elder titan, enigma, oracle, rattletrap, razor, sand king, slark, spectre, windrunner
2020-04-13: ancient apparition, antimage, bounty hunter, bristleback, enigma, omniknight, puck, storm spirit, sven, troll warlord
2020-04-14: death prophet, gyrocopter, magnataur, monkey king, nevermore, ogre magi, phantom assassin, rattletrap, skywrath mage, winter wyvern
2020-04-15: bane, ember spirit, legion commander, phoenix, rubick, shadow demon, skeleton king, slardar, tinker, weaver
2020-04-16: bristleback, earthshaker, jakiro, necrolyte, ogre magi, riki, shredder, slardar, treant, zuus
2020-04-17: alchemist, beastmaster, dragon knight, phoenix, rattletrap, razor, sand king, sniper, tusk, visage
2020-04-18: batrider, life stealer, pudge, razor, shadow demon, silencer, sven, techies, templar assassin, tiny
2020-04-19: invoker, magnataur, monkey king, phantom assassin, slark, sniper, sven, techies, tinker, treant
2020-04-20: abyssal underlord, centaur, clinkz, death prophet, lina, morphling, nevermore, obsidian destroyer, shredder, sniper
2020-04-21: beastmaster, faceless void, jakiro, life stealer, lina, mirana, silencer, templar assassin, tusk, warlock
2020-04-22: bloodseeker, bounty hunter, enigma, faceless void, leshrac, shredder, vengefulspirit, warlock, winter wyvern, wisp
2020-04-23: ancient apparition, bloodseeker, enigma, jakiro, lone druid, phoenix, queenofpain, slardar, viper, wisp
2020-04-24: ancient apparition, beastmaster, brewmaster, doom bringer, meepo, queenofpain, sand king, spirit breaker, warlock, zuus
2020-04-25: alchemist, chaos knight, dark willow, earthshaker, lich, pangolier, techies, troll warlord, visage, weaver
2020-04-26: brewmaster, jakiro, lich, lycan, mirana, nyx assassin, silencer, spectre, spirit breaker, warlock
2020-04-27: enigma, juggernaut, oracle, pangolier, pudge, queenofpain, rubick, sniper, spirit breaker, venomancer
2020-04-28: broodmother, chaos knight, ember spirit, jakiro, kunkka, mirana, sand king, shadow shaman, terrorblade, treant
2020-04-29: axe, crystal maiden, dark willow, gyrocopter, jakiro, juggernaut, lina, silencer, tusk, ursa
2020-04-30: arc warden, bloodseeker, doom bringer, nevermore, phantom lancer, phoenix, skeleton king, storm spirit, ursa, venomancer
2020-05-01: bloodseeker, ember spirit, medusa, mirana, night stalker, shadow demon, spirit breaker, tinker, treant, viper
2020-05-02: earth spirit, earthshaker, ember spirit, juggernaut, kunkka, lich, lone druid, meepo, pudge, rattletrap
2020-05-03: abyssal underlord, batrider, centaur, ember spirit, juggernaut, lone druid, treant, troll warlord, undying, warlock
2020-05-04: abaddon, huskar, keeper of the light, lycan, magnataur, naga siren, ogre magi, pugna, tiny, tusk
2020-05-05: bounty hunter, brewmaster, earth spirit, legion commander, lich, morphling, necrolyte, rattletrap, sniper, weaver
2020-05-06: abaddon, antimage, elder titan, juggernaut, lion, mirana, oracle, slark, sniper, weaver
2020-05-07: bloodseeker, broodmother, disruptor, lina, omniknight, phoenix, pugna, queenofpain, shredder, tidehunter
2020-05-08: dazzle, jakiro, keeper of the light, kunkka, lone druid, meepo, night stalker, queenofpain, shadow shaman, venomancer
2020-05-09: abyssal underlord, ancient apparition, bane, broodmother, doom bringer, drow ranger, nevermore, skywrath mage, slardar, spirit breaker
2020-05-10: abyssal underlord, axe, batrider, broodmother, centaur, dark willow, invoker, leshrac, magnataur, nyx assassin
2020-05-11: dark willow, gyrocopter, leshrac, lycan, obsidian destroyer, oracle, razor, skeleton king, slark, tinker
2020-05-12: antimage, bloodseeker, chen, gyrocopter, jakiro, leshrac, life stealer, phantom assassin, ursa, weaver
2020-05-13: drow ranger, faceless void, jakiro, leshrac, morphling, sand king, slark, templar assassin, tidehunter, visage
2020-05-14: dark willow, drow ranger, juggernaut, kunkka, life stealer, shadow shaman, skeleton king, spectre, viper, weaver
2020-05-15: alchemist, ancient apparition, bounty hunter, earth spirit, elder titan, lycan, mirana, night stalker, shredder, ursa
2020-05-16: beastmaster, broodmother, dazzle, disruptor, lich, nevermore, nyx assassin, pudge, shadow shaman, spectre
2020-05-17: chen, dark willow, invoker, jakiro, life stealer, naga siren, night stalker, pudge, tusk, viper
2020-05-18: bane, beastmaster, bristleback, earth spirit, enigma, lycan, skywrath mage, slardar, tidehunter, windrunner
2020-05-19: arc warden, centaur, lycan, obsidian destroyer, pangolier, phantom assassin, queenofpain, shadow shaman, slark, venomancer
2020-05-20: arc warden, batrider, clinkz, death prophet, huskar, mirana, puck, razor, riki, tidehunter
2020-05-21: arc warden, bane, batrider, bloodseeker, bounty hunter, kunkka, spirit breaker, sven, tiny, vengefulspirit
2020-05-22: dazzle, huskar, luna, lycan, pangolier, phantom lancer, rubick, skeleton king, slardar, slark
2020-05-23: centaur, dazzle, juggernaut, meepo, ogre magi, sand king, skeleton king, tiny, warlock, witch doctor
2020-05-24: axe, gyrocopter, juggernaut, luna, necrolyte, phoenix, queenofpain, skywrath mage, spectre, windrunner
2020-05-25: arc warden, earth spirit, elder titan, enigma, medusa, naga siren, omniknight, puck, rattletrap, wisp
2020-05-26: bane, bristleback, disruptor, magnataur, mirana, necrolyte, obsidian destroyer, omniknight, oracle, tusk
2020-05-27: alchemist, juggernaut, legion commander, naga siren, omniknight, pudge, terrorblade, tidehunter, undying, visage
2020-05-28: alchemist, doom bringer, meepo, night stalker, pugna, skeleton king, terrorblade, treant, vengefulspirit, windrunner
2020-05-29: chen, dark willow, earth spirit, earthshaker, furion, monkey king, razor, slark, sven, warlock
2020-05-30: crystal maiden, doom bringer, drow ranger, lycan, naga siren, necrolyte, ogre magi, venomancer, wisp, zuus
2020-05-31: abaddon, brewmaster, broodmother, drow ranger, huskar, jakiro, lich, razor, slark, terrorblade
2020-06-01: alchemist, bounty hunter, dark willow, dragon knight, ember spirit, enigma, lion, sand king, spectre, vengefulspirit
2020-06-02: batrider, broodmother, centaur, enigma, legion commander, phantom assassin, puck, rattletrap, templar assassin, zuus
2020-06-03: arc warden, bane, invoker, jakiro, lich, morphling, pugna, spectre, spirit breaker, undying
2020-06-04: beastmaster, bloodseeker, dark seer, elder titan, enchantress, leshrac, lone druid, phoenix, rattletrap, zuus
2020-06-05: batrider, beastmaster, doom bringer, lina, slark, spectre, storm spirit, troll warlord, undying, vengefulspirit
2020-06-06: arc warden, bane, death prophet, legion commander, obsidian destroyer, rattletrap, silencer, slardar, spectre, sven
2020-06-07: bristleback, centaur, lina, lion, nyx assassin, skeleton king, slark, spectre, terrorblade, vengefulspirit
2020-06-08: dark seer, dragon knight, enchantress, gyrocopter, lina, necrolyte, pangolier, pugna, warlock, wisp
2020-06-09: lich, lion, meepo, naga siren, necrolyte, nyx assassin, shredder, tinker, treant, viper
2020-06-10: abyssal underlord, ancient apparition, beastmaster, broodmother, magnataur, morphling, oracle, pudge, pugna, spirit breaker
2020-06-11: axe, bloodseeker, furion, invoker, legion commander, lich, lycan, obsidian destroyer, razor, templar assassin
2020-06-12: dark seer, dark willow, lina, lycan, medusa, phoenix, puck, shadow shaman, sniper, troll warlord
2020-06-13: abyssal underlord, centaur, chen, dragon knight, meepo, pangolier, riki, rubick, skeleton king, tiny
2020-06-14: abaddon, axe, doom bringer, oracle, rubick, sand king, sniper, weaver, wisp, witch doctor
2020-06-15: chaos knight, chen, doom bringer, meepo, obsidian destroyer, omniknight, oracle, pangolier, tidehunter, tusk
2020-06-16: ancient apparition, elder titan, gyrocopter, legion commander, magnataur, razor, rubick, slardar, spectre, terrorblade
2020-06-17: bane, bloodseeker, death prophet, jakiro, nyx assassin, phantom assassin, riki, slark, undying, weaver
2020-06-18: antimage, centaur, chen, clinkz, death prophet, nevermore, rubick, tusk, ursa, visage
2020-06-19: arc warden, broodmother, death prophet, furion, lina, nevermore, pangolier, razor, rubick, terrorblade
2020-06-20: chaos knight, doom bringer, juggernaut, leshrac, lone druid, night stalker, pangolier, slark, undying, windrunner
2020-06-21: bounty hunter, brewmaster, clinkz, huskar, legion commander, pudge, queenofpain, razor, spectre, storm spirit
2020-06-22: dragon knight, elder titan, juggernaut, lycan, necrolyte, nyx assassin, rattletrap, shadow demon, tusk, visage
2020-06-23: batrider, crystal maiden, earth spirit, necrolyte, nyx assassin, pugna, sven, undying, vengefulspirit, windrunner
2020-06-24: antimage, centaur, chaos knight, chen, lich, queenofpain, undying, ursa, viper, witch doctor
2020-06-25: abyssal underlord, chaos knight, dark seer, death prophet, kunkka, lich, magnataur, razor, skeleton king, templar assassin
2020-06-26: dark willow, dazzle, dragon knight, furion, necrolyte, nevermore, phoenix, slark, visage, zuus
2020-06-27: bloodseeker, bounty hunter, clinkz, gyrocopter, monkey king, pudge, rattletrap, skywrath mage, slark, sniper
2020-06-28: dazzle, ember spirit, huskar, leshrac, necrolyte, night stalker, obsidian destroyer, shadow demon, tinker, treant
2020-06-29: gyrocopter, leshrac, mirana, oracle, phoenix, rattletrap, skeleton king, sven, ursa, weaver
2020-06-30: axe, crystal maiden, dark seer, elder titan, meepo, necrolyte, storm spirit, tiny, tusk, windrunner
2020-07-01: abaddon, broodmother, dark seer, dark willow, enigma, faceless void, mirana, omniknight, shredder, sven
2020-07-02: abyssal underlord, axe, death prophet, doom bringer, dragon knight, lich, pugna, rattletrap, rubick, windrunner
2020-07-03: abyssal underlord, bloodseeker, centaur, earth spirit, lina, magnataur, naga siren, night stalker, pangolier, vengefulspirit
2020-07-04: bane, gyrocopter, invoker, lion, night stalker, shadow demon, shredder, spirit breaker, sven, windrunner
2020-07-05: beastmaster, bloodseeker, chaos knight, drow ranger, huskar, invoker, juggernaut, leshrac, skywrath mage, sven
2020-07-06: bristleback, enchantress, lina, omniknight, phantom lancer, puck, pudge, troll warlord, weaver, windrunner
2020-07-07: abyssal underlord, doom bringer, gyrocopter, necrolyte, shredder, techies, troll warlord, weaver, windrunner, wisp
2020-07-08: abyssal underlord, beastmaster, brewmaster, dark willow, lycan, techies, tidehunter, treant, tusk, witch doctor
2020-07-09: bloodseeker, drow ranger, ember spirit, jakiro, juggernaut, phantom assassin, rattletrap, shredder, sniper, ursa
2020-07-10: antimage, earth spirit, enchantress, shredder, slark, sniper, techies, templar assassin, troll warlord, venomancer
2020-07-11: abaddon, dark willow, doom bringer, jakiro, keeper of the light, skeleton king, skywrath mage, sven, templar assassin, undying
